,Status,Close Date,Close Price,Property_ID,New Construction Type,MLS Number,List Agent Full Name,List Agent MLSID,List Office Name,Property Address
0,Closed,2/26/2021,372836.0,46,To Be Built,170194294,Kathy Childs,PALAGONK,Thomas Jacovino,43 Tamarack Court 300 Prospect Connecticut 06712
1,Closed,2/26/2021,435507.0,NA,To Be Built,170221671,Kathy Childs,PALAGONK,Thomas Jacovino,41 Tamarack Court 301 Prospect Connecticut 06712
2,Closed,2/26/2021,893314.0,NA,Under Construction,170244505,Therese M Nuzzolo,NUZZOLOT,Berkshire Hathaway NE Prop.,57 Derby Way 11 Glastonbury Connecticut 06033
3,Closed,2/26/2021,437857.0,NA,Under Construction,170332323,Nicole M Defrancesco,DEFRANCN,Thomas Jacovino,10 Fairview Lane 211 Middlebury Connecticut 06762
4,Closed,2/26/2021,411804.0,NA,To Be Built,170342680,Kristin M Daly-Murphy,dalykr,Calcagni Real Estate,132 Mulholland Way 62 North Haven Connecticut 06473
5,Closed,2/26/2021,1700.0,NA,Completed/Never Occupied,170361568,Julie Blakeman,840995,Carey & Guarrera Real Estate,309 Bridgeport Avenue 104 Shelton Connecticut 06484
6,Closed,2/25/2021,625359.0,NA,To Be Built,170245805,Andrea Bannerman,20635,Thomas Jacovino,5 Winding Ridge Way 19 Danbury Connecticut 06810
7,Closed,2/25/2021,285325.0,NA,Under Construction,170338166,Joseph Duva,DUVAJ,T & M Real Estate of CT Inc,320 Pepin place  91 South Windsor Connecticut 06074
8,Closed,2/24/2021,541426.0,NA,To Be Built,170251296,Andrea Bannerman,20635,Thomas Jacovino,20 Brentwood Circle 106 Danbury Connecticut 06810
9,Closed,2/23/2021,355000.0,NA,To Be Built,170277489,Jared Meehan,EMEEHANJ,RE/MAX Bell Park Realty,Lot 7A Tripp Hollow Road  Canterbury Connecticut 06331
10,Closed,2/23/2021,789000.0,NA,Completed/Never Occupied,170350205,Stacey K Didio,5515,Coldwell Banker Realty,25 Beaumont Street  Fairfield Connecticut 06824
11,Closed,2/22/2021,499900.0,NA,Under Construction,170144558,Joseph Duva,DUVAJ,T & M Real Estate of CT Inc,31 Cider Mill Heights   Granby Connecticut 06060
12,Closed,2/19/2021,284000.0,NA,Completed/Never Occupied,170331614,Yasmina Delacruz-Bailey,21391,Century 21 Scala Group,810 Seaview Avenue 1 Bridgeport Connecticut 06607
13,Closed,2/19/2021,365258.0,NA,To Be Built,170350206,Eileen D Lovley,LOVLEYE,Century 21 AllPoints Realty,785 South End Road  5 Southington Connecticut 06489
14,Closed,2/19/2021,667000.0,NA,Completed/Never Occupied,170364947,Bryan Feery,FEERYB,Berkshire Hathaway NE Prop.,880 Mott Hill Road  Glastonbury Connecticut 06073
15,Closed,2/18/2021,602683.0,NA,To Be Built,170255412,Suzanne B DeMarco,21546,Thomas Jacovino,41 Crossing Way 53 Bethel Connecticut 06801
16,Closed,2/18/2021,477926.0,NA,To Be Built,170290087,Judie Ferraro,FERRARJU,Calcagni Real Estate,340A Main / AKA 338 E MAIN ST.   Wallingford Connecticut 06492
