Status,Close Date,Close Price,Property_ID,New Construction Type,MLS Number,List Agent Full Name,List Agent MLSID,List Office Name,comp_addr
Closed,2/26/2021,372836,,To Be Built,170194294,Kathy Childs,PALAGONK,Thomas Jacovino,43 Tamarack Court 300 Prospect Connecticut 06712
Closed,2/26/2021,435507,,To Be Built,170221671,Kathy Childs,PALAGONK,Thomas Jacovino,41 Tamarack Court 301 Prospect Connecticut 06712
Closed,2/26/2021,893314,,Under Construction,170244505,Therese M Nuzzolo,NUZZOLOT,Berkshire Hathaway NE Prop.,57 Derby Way 11 Glastonbury Connecticut 06033
Closed,2/26/2021,437857,,Under Construction,170332323,Nicole M Defrancesco,DEFRANCN,Thomas Jacovino,10 Fairview Lane 211 Middlebury Connecticut 06762
Closed,2/26/2021,411804,,To Be Built,170342680,Kristin M Daly-Murphy,dalykr,Calcagni Real Estate,132 Mulholland Way 62 North Haven Connecticut 06473
Closed,2/26/2021,1700,,Completed/Never Occupied,170361568,Julie Blakeman,840995,Carey & Guarrera Real Estate,309 Bridgeport Avenue 104 Shelton Connecticut 06484
Closed,2/25/2021,625359,,To Be Built,170245805,Andrea Bannerman,20635,Thomas Jacovino,5 Winding Ridge Way 19 Danbury Connecticut 06810
Closed,2/25/2021,285325,,Under Construction,170338166,Joseph Duva,DUVAJ,T & M Real Estate of CT Inc,320 Pepin place  91 South Windsor Connecticut 06074
Closed,2/24/2021,541426,,To Be Built,170251296,Andrea Bannerman,20635,Thomas Jacovino,20 Brentwood Circle 106 Danbury Connecticut 06810
Closed,2/23/2021,355000,,To Be Built,170277489,Jared Meehan,EMEEHANJ,RE/MAX Bell Park Realty,Lot 7A Tripp Hollow Road  Canterbury Connecticut 06331
Closed,2/23/2021,789000,,Completed/Never Occupied,170350205,Stacey K Didio,5515,Coldwell Banker Realty,25 Beaumont Street  Fairfield Connecticut 06824
Closed,2/22/2021,499900,,Under Construction,170144558,Joseph Duva,DUVAJ,T & M Real Estate of CT Inc,31 Cider Mill Heights   Granby Connecticut 06060
Closed,2/19/2021,284000,,Completed/Never Occupied,170331614,Yasmina Delacruz-Bailey,21391,Century 21 Scala Group,810 Seaview Avenue 1 Bridgeport Connecticut 06607
Closed,2/19/2021,365258,,To Be Built,170350206,Eileen D Lovley,LOVLEYE,Century 21 AllPoints Realty,785 South End Road  5 Southington Connecticut 06489
Closed,2/19/2021,667000,,Completed/Never Occupied,170364947,Bryan Feery,FEERYB,Berkshire Hathaway NE Prop.,880 Mott Hill Road  Glastonbury Connecticut 06073
Closed,2/18/2021,602683,,To Be Built,170255412,Suzanne B DeMarco,21546,Thomas Jacovino,41 Crossing Way 53 Bethel Connecticut 06801
Closed,2/18/2021,477926,,To Be Built,170290087,Judie Ferraro,FERRARJU,Calcagni Real Estate,340A Main / AKA 338 E MAIN ST.   Wallingford Connecticut 06492
Closed,2/17/2021,526889,,Under Construction,170328185,Gary Emerito,EMERITG,Berkshire Hathaway NE Prop.,33 Carson Way   Simsbury Connecticut 06070
Closed,2/17/2021,1100,,Under Construction,170372965,Jordan Stevens,843011,Keller Williams Realty,152 Tremont 1S  #1S New Britain Connecticut 06051
Closed,2/16/2021,474260,,To Be Built,170220556,Andrea Bannerman,20635,Thomas Jacovino,18 West Cross Trail 129 Danbury Connecticut 06810
Closed,2/16/2021,540482,,Under Construction,170225374,Nicole M Defrancesco,DEFRANCN,Thomas Jacovino,13 Fairview Lane 209 Middlebury Connecticut 06762
Closed,2/16/2021,519284,,To Be Built,170283452,Wendy L. O'Donnell,ODONNELW,EG Group Realty,11 Park Avenue  Stonington Connecticut 06355
Closed,2/16/2021,642175.79,,To Be Built,170307713,Cheryl A Rosadino,ROSADICH,Berkshire Hathaway NE Prop.,Lot 5 Cornwall Avenue  Cheshire Connecticut 06410
Closed,2/16/2021,702000,,Under Construction,170354032,Lawrence Davidoff,L458,Davidoff Realty Co.,604 Newfield Ave House C   Stamford Connecticut 06905
Closed,2/15/2021,4300,,Completed/Never Occupied,170303530,Penne B Weicker,16081,Brown Harris Stevens,16 Cross Street 206 New Canaan Connecticut 06840
Closed,2/12/2021,458928,,Under Construction,170253026,Meredith Colasanto,COLASANM,Thomas Jacovino,130 RIDGEWOOD Drive 180 Middlebury Connecticut 06762
Closed,2/12/2021,457500,,Model,170293338,Ryan Peterson,PETERSOR,Century 21 AllPoints Realty,74 Scenic Drive   Berlin Connecticut 06037
Closed,2/12/2021,280000,,Under Construction,170313252,Doug Blackwood,BLACKWOD,Calcagni Real Estate,44 Lakeside Drive 39 Orange Connecticut 06477
Closed,2/12/2021,400000,,Under Construction,170349276,Jaime Pereira,17822,Re/Max Right Choice,166 Lakeview   Bridgeport Connecticut 06606
Closed,2/12/2021,1200000,,Under Construction,170354078,Gregorio Pansino,JPANS01,Kinard Realty Group,10 ravenglass Drive 9 Stamford Connecticut 06903
Closed,2/11/2021,1550,,Under Construction,170356283,Julie Blakeman,840995,Carey & Guarrera Real Estate,309 Bridgeport Avenue  203 Shelton Connecticut 06484
Closed,2/11/2021,1700,,Under Construction,170361526,Julie Blakeman,840995,Carey & Guarrera Real Estate,309 Bridgeport Avenue 405 Shelton Connecticut 06484
Closed,2/9/2021,709900,,Under Construction,170344560,Paul Jacques,JACQUESP,Jacques Realty,Lot 6 114 Kongscut Valley Trail  Glastonbury Connecticut 06033
Closed,2/9/2021,1975,,Under Construction,170358765,Teresa Truiolo,TRUIOLOT,"Excel Realty, LLC",301 Main Street 1 Bristol Connecticut 06010
Closed,2/9/2021,495000,,Under Construction,170363575,John R Lepore,LEPOREJ,Berkshire Hathaway NE Prop.,2 Anthonys Way  Bloomfield Connecticut 06002
Closed,2/8/2021,409911,,Under Construction,170257168,Nicole M Defrancesco,DEFRANCN,Thomas Jacovino,11 FAIRVIEW Lane 208 Middlebury Connecticut 06762
Closed,2/8/2021,516614,,To Be Built,170283537,Wendy L. O'Donnell,ODONNELW,EG Group Realty,12 Park Avenue  Stonington Connecticut 06355
Closed,2/8/2021,405405,,To Be Built,170324627,Nikki Trocchio,trocchion,Calcagni Real Estate,520 Ridgewood Road  Middletown Connecticut 06457
Closed,2/8/2021,2900,,Completed/Never Occupied,170340530,Jennifer Collins,22881,"Compass Connecticut, LLC",1675 Post Road 204 Fairfield Connecticut 06824
Closed,2/8/2021,825000,,Completed/Never Occupied,170363538,Stacey K Didio,5515,Coldwell Banker Realty,21 Beaumont Street  Fairfield Connecticut 06824
Closed,2/5/2021,385984,,To Be Built,170207066,Nicole M Defrancesco,DEFRANCN,Thomas Jacovino,27 Highridge Road 155 Middlebury Connecticut 06762
Closed,2/5/2021,239000,,Completed/Never Occupied,170264664,Yasmina Delacruz-Bailey,21391,Century 21 Scala Group,830 Seaview Avenue 3 Bridgeport Connecticut 06607
Closed,2/5/2021,335000,,To Be Built,170291159,J.R. Donorfio,DONORFGE,"Fercodini Properties, Inc.",17 Louise Avenue  Wolcott Connecticut 06716
Closed,2/5/2021,434400,,Under Construction,170301615,Thomas P Coccomo,COCCOMOT,Century 21 AllPoints Realty,65 Jack English   Middletown Connecticut 06085
Closed,2/4/2021,622322,,Under Construction,170248223,Suzanne B DeMarco,21546,Thomas Jacovino,37 South Crossing Way 51 Bethel Connecticut 06801
Closed,2/4/2021,407285,,Under Construction,170346799,Laura Spinelli,SPINELLL,"Laurel Crest Realty, LLC",Lot 1 Great Pyrenees Way  Bristol Connecticut 06010
Closed,2/3/2021,279900,,To Be Built,170179015,Kris Barnett,BARNETTK,Berkshire Hathaway NE Prop.,31 Cambridge Court  Simsbury Connecticut 06070
Closed,2/3/2021,1950000,,Completed/Never Occupied,170261853,Lawrence Davidoff,L458,Davidoff Realty Co.,79 Bayberrie Drive  Stamford Connecticut 06902
Closed,2/2/2021,200000,,To Be Built,170321914,Christine Johnson,EJOHNSONC2,RE/MAX Home Team,123 Ashford Road 8 Eastford Connecticut 06242
Closed,2/2/2021,1550,,Completed/Never Occupied,170361564,Julie Blakeman,840995,Carey & Guarrera Real Estate,309 Bridgeport Avenue 106 Shelton Connecticut 06484
Closed,2/1/2021,2950,,Completed/Never Occupied,170340784,Jennifer Collins,22881,"Compass Connecticut, LLC",1675 Post Road 304 Fairfield Connecticut 06824
Closed,2/1/2021,1600,,Under Construction,170358096,Teresa Truiolo,TRUIOLOT,"Excel Realty, LLC",301 Main Street 3 Bristol Connecticut 06010
